company_name,company_email,contact_person,phone_number,additional_details
Al Dar Properties,hr@aldar.ae,Contact Person,+97123456812,Property development
Borouge PLC,hr@borouge.ae,Contact Person,+97123456813,Petrochemical manufacturing
Abu Dhabi Aviation Co.,hr@adaviation.ae,Contact Person,+97123456814,Aviation services
Bank of Sharjah,hr@banksharjah.ae,Contact Person,+97123456815,Banking services
Ajman Bank PJSC,hr@ajmanbank.ae,Contact Person,+97123456816,Islamic banking
ADNOC Drilling Company PJSC,hr@adnocdrilling.ae,Contact Person,+97123456817,Drilling services
Abu Dhabi National Hotels Co.,hr@adnhotels.ae,Contact Person,+97123456818,Hospitality services
ALEC Holdings PJSC,hr@alec.ae,Contact Person,+97123456819,Engineering and construction
Sharjah Islamic Bank,hr@sib.ae,Contact Person,+97123456820,Islamic banking
Americana Restaurants International PLC,hr@americana.ae,Contact Person,+97123456821,Restaurant chain
National Corporation for Tourism & Hotels,hr@ncth.ae,Contact Person,+97123456822,Tourism and hospitality
APEX INVESTMENT P.S.C,hr@apex.ae,Contact Person,+97123456823,Investment services
Parkin Co. PJSC,hr@parkin.ae,Contact Person,+97123456824,Parking solutions
Gulf Cement Co.,hr@gulfcement.ae,Contact Person,+97123456825,Cement manufacturing
Shuaa Capital (P.S.C),hr@shuaacapital.ae,Contact Person,+97123456826,Financial services
Drake & Scull International (P J S C),hr@drakescull.ae,Contact Person,+97123456827,Engineering services
Abu Dhabi National Oil Company For Distribution,hr@adnocdist.ae,Contact Person,+97123456828,Fuel distribution
Union Properties (P.J.S.C),hr@unionprops.ae,Contact Person,+97123456829,Property development
Commercial Bank of Dubai(PSC),hr@cbd.ae,Contact Person,+97123456830,Commercial banking
Abu Dhabi Ports Company PJSC,hr@adports.ae,Contact Person,+97123456831,Port operations
Abu Dhabi National Insurance Company,hr@adnic.ae,Contact Person,+97123456832,Insurance services
BHM Capital Financial Services P.S.C,hr@hmcapital.ae,Contact Person,+97123456833,Financial services
Talabat Holding Plc,hr@talabat.ae,Contact Person,+97123456834,Food delivery platform
Al Ansari Financial Services PJSC,hr@alansari.ae,Contact Person,+97123456835,Financial services
Abu Dhabi National Energy Company,hr@taqa.ae,Contact Person,+97123456836,Energy company
International Holding Company PJSC,hr@ihc.ae,Contact Person,+97123456837,Holding company
Spinneys 1961 Holding plc,hr@spinneys.ae,Contact Person,+97123456838,Retail chain
Unikai Foods PJSC,hr@unikai.ae,Contact Person,+97123456839,Food distribution
Umm Al Qaiwain General Investment Co. P.S.C,hr@uaqic.ae,Contact Person,+97123456840,Investment company
SPACE42 PLC,hr@space42.ae,Contact Person,+97123456841,Technology and space
Gulf Pharmaceutical Industries,hr@gulfpharma.ae,Contact Person,+97123456842,Pharmaceutical manufacturing
AL KHALEEJ Investment,hr@alkhalej.ae,Contact Person,+97123456843,Investment services
Amanat Holdings PJSC,hr@amanat.ae,Contact Person,+97123456844,Investment management
Depa Plc,hr@depa.ae,Contact Person,+97123456845,Interior design
Dubai Residential REIT,hr@drreit.ae,Contact Person,+97123456846,Real estate investment
Insurance House,hr@insurancehouse.ae,Contact Person,+97123456847,Insurance services
Emirates REIT (CEIC) PLC,hr@emiratesreit.ae,Contact Person,+97123456848,Real estate investment
Sukoon Takaful PJSC,hr@sukoon.ae,Contact Person,+97123456849,Islamic insurance
Orient Insurance PJSC,hr@orient.ae,Contact Person,+97123456850,Insurance services
RAK Co. for White Cement & Construction Materials,hr@rakcement.ae,Contact Person,+97123456851,Cement manufacturing
Mashreqbank PSC,hr@mashreq.ae,Contact Person,+97123456852,Banking services
Modon Holding PSC,hr@modon.ae,Contact Person,+97123456853,Property development
Dubai Insurance CompanyPSC,hr@dubaiins.ae,Contact Person,+97123456854,Insurance services
Sukoon Insurance PJSC,hr@sukoonins.ae,Contact Person,+97123456855,Insurance services
DANA GAS PJSC,hr@danagas.ae,Contact Person,+97123456856,Energy and gas
Alef Education Holding plc,hr@alef.ae,Contact Person,+97123456857,Education technology
Al Mal Capital REIT,hr@almal.ae,Contact Person,+97123456858,Real estate investment
Al Ramz Corporation Investment & Development PJSC,hr@alramz.ae,Contact Person,+97123456859,Investment and development
ENBD REIT (CEIC) PLC,hr@enbdreit.ae,Contact Person,+97123456860,Real estate investment
Dubai Refreshment Company P.J.S.C,hr@dubairefresh.ae,Contact Person,+97123456861,Beverage distribution
Gulf Medical Projects Company,hr@gulfmed.ae,Contact Person,+97123456862,Healthcare projects
Amlak Finance PJSC,hr@amlak.ae,Contact Person,+97123456863,Finance services
Gulf Navigation Holding (P . J . S . C),hr@gulfnav.ae,Contact Person,+97123456864,Shipping and navigation
National Central Cooling Co. (P.S.C.) (Tabreed),hr@tabreed.ae,Contact Person,+97123456865,District cooling services
Dubai National Insurance & Reinsurance Co. (P.S.C.),hr@dnirc.ae,Contact Person,+97123456866,Insurance and reinsurance
Emirates Investment Bank PJSC,hr@eibank.ae,Contact Person,+97123456867,Investment banking
E7 Group PJSC,hr@e7group.ae,Contact Person,+97123456868,Holding company
National Cement Company PSC,hr@nationalcement.ae,Contact Person,+97123456869,Cement manufacturing
Emaar Properties (P.J.S.C),hr@emaarprops.ae,Contact Person,+97123456870,Real estate development
Al Sagr National Insurance Co. PSC,hr@alsagr.ae,Contact Person,+97123456871,Insurance services
Al Buhaira National Insurance Company,hr@albuhaira.ae,Contact Person,+97123456872,Insurance services
MAIR GROUP -  P.J.S.C.,hr@mair.ae,Contact Person,+97123456873,Holding company
Emirates Telecom. Group Company (Etisalat Group) PJSC,hr@etisalat.ae,Contact Person,+97123456874,Telecommunications
Sharjah Cement and Industrial Development Co.,hr@sharjahcement.ae,Contact Person,+97123456875,Cement manufacturing
Emirates Integrated Telecommunications Company PJSC,hr@du.ae,Contact Person,+97123456876,Telecommunications
Dubai Islamic Bank PJSC,hr@dib.ae,Contact Person,+97123456877,Islamic banking
Air Arabia PJSC,hr@airarabia.ae,Contact Person,+97123456878,Aviation services
PALMS SPORTS PrJSC,hr@palms.ae,Contact Person,+97123456879,Sports and entertainment
AGTHIA Group,hr@agthia.ae,Contact Person,+97123456880,Food and beverage
Dubai Investment (P.J.S.C),hr@dubaiinv.ae,Contact Person,+97123456881,Investment company
PHOENIX GROUP   PLC,hr@phoenix.ae,Contact Person,+97123456882,Technology solutions
Emirates Driving Company,hr@emiratesdriving.ae,Contact Person,+97123456883,Driving education
Salik Company PJSC,hr@salik.ae,Contact Person,+97123456884,Toll system services
Two Point Zero Group PJSC,hr@twozero.ae,Contact Person,+97123456885,Technology group
Emirates Reem Investments PJSC,hr@reeminv.ae,Contact Person,+97123456886,Investment company
RAK Ceramics PJSC,hr@rakceramics.ae,Contact Person,+97123456887,Ceramics manufacturing
Fertiglobe plc,hr@fertiglobe.ae,Contact Person,+97123456888,Fertilizer production
Taaleem Holdings PJSC,hr@taaleem.ae,Contact Person,+97123456889,Education services
ADNOC Gas plc,hr@adnocgas.ae,Contact Person,+97123456890,Gas production
Alpha Data PJSC,hr@alphadata.ae,Contact Person,+97123456891,Technology solutions
Fujairah Cement Industries,hr@fujcement.ae,Contact Person,+97123456892,Cement manufacturing
ESHRAQ INVESTMENTS P.J.S.C,hr@eshraq.ae,Contact Person,+97123456893,Investment services
Abu Dhabi National Co. for Building Materials,hr@adncbm.ae,Contact Person,+97123456894,Building materials
Emirates Central Cooling Systems Corporation PJSC,hr@empower.ae,Contact Person,+97123456895,District cooling
Investcorp Capital PLC,hr@investcorp.ae,Contact Person,+97123456896,Investment banking
Alpha Dhabi Holding PJSC,hr@alphadhabi.ae,Contact Person,+97123456897,Holding company
RAK Properties,hr@rakprops.ae,Contact Person,+97123456898,Property development
BURJEEL HOLDINGS PLC,hr@burjeel.ae,Contact Person,+97123456899,Healthcare services
Pure Health Holding PJSC,hr@purehealth.ae,Contact Person,+97123456900,Healthcare services
Aramex PJSC,hr@aramex.ae,Contact Person,+97123456901,Logistics and transportation
EMSTEEL BUILDING MATERIALS PJSC,hr@emsteel.ae,Contact Person,+97123456902,Steel and building materials
Presight AI Holding PLC,hr@presight.ae,Contact Person,+97123456903,Artificial intelligence
Emirates NBD Bank (P.J.S.C),hr@emiratesnbd.ae,Contact Person,+97123456904,Banking services
NMDC Group PJSC,hr@nmdc.ae,Contact Person,+97123456905,Construction and dredging
The National Bank of Ras Al Khaimah,hr@rakbank.ae,Contact Person,+97123456906,Banking services
NMDC Energy P.J.S.C.,hr@nmdcenergy.ae,Contact Person,+97123456907,Energy services
Union Coop,hr@unioncoop.ae,Contact Person,+97123456908,Cooperative retail
Commercial Bank International,hr@cbi.ae,Contact Person,+97123456909,Banking services
National General Insurance Co (P.J.S.C),hr@ngi.ae,Contact Person,+97123456910,Insurance services
Al Seer Marine Supplies & Equipment Company P.J.S.C,hr@alseer.ae,Contact Person,+97123456911,Marine supplies
Hayah Insurance Company P.J.S.C,hr@hayah.ae,Contact Person,+97123456912,Insurance services
RAPCO Investment PJSC,hr@rapco.ae,Contact Person,+97123456913,Investment services
Aram Group,hr@aram.ae,Contact Person,+97123456914,Holding company
Lulu Retail Holdings PLC,hr@lulu.ae,Contact Person,+97123456915,Retail chain
Finance House,hr@financehouse.ae,Contact Person,+97123456916,Financial services
GHITHA HOLDING P.J.S.C.,hr@ghitha.ae,Contact Person,+97123456917,Holding company
ESG EMIRATES STALLIONS GROUP P.J.S.C,hr@esgstallions.ae,Contact Person,+97123456918,Sports and entertainment
FOODCO NATIONAL FOODSTUFF PrJSC,hr@foodco.ae,Contact Person,+97123456919,Food distribution
National Bank of Umm Al Qaiwain,hr@nbuq.ae,Contact Person,+97123456920,Banking services
Al Wathba National Insurance Co.,hr@alwathba.ae,Contact Person,+97123456921,Insurance services
Oman & Emirates Investment Holding Co,hr@oeih.ae,Contact Person,+97123456922,Investment holding
Takaful Emarat - Insurance (PSC),hr@takaful.ae,Contact Person,+97123456923,Islamic insurance
Response Plus Holding PrJSC,hr@responseplus.ae,Contact Person,+97123456924,Emergency medical services
Islamic Arab Insurance Co. (Salama),hr@salama.ae,Contact Person,+97123456925,Islamic insurance
Watania International Holding PJSC,hr@watania.ae,Contact Person,+97123456926,Holding company
ANAN INVESTMENT HOLDING P.J.S.C,hr@anan.ae,Contact Person,+97123456927,Investment holding
